modulo;status;arquivo
MOD-001;CONCLUIDO;/Users/endryw/workspace/scripts-kw/saida_casa_3d/catalogo_modulos/MOD-001.png
MOD-002;CONCLUIDO;/Users/endryw/workspace/scripts-kw/saida_casa_3d/catalogo_modulos/MOD-002.png
MOD-003;EM ANDAMENTO;/Users/endryw/workspace/scripts-kw/saida_casa_3d/catalogo_modulos/MOD-003.png
MOD-004;EM ANDAMENTO;/Users/endryw/workspace/scripts-kw/saida_casa_3d/catalogo_modulos/MOD-004.png
MOD-005;NAO INICIADO;/Users/endryw/workspace/scripts-kw/saida_casa_3d/catalogo_modulos/MOD-005.png
